basis_name,threshold,data_seed,n_basis,active_terms,one_step_mse,rollout_mse_10,rollout_mse_50,fit_time_s
p_qwen_plus_01,0.001,7,29,42,0.6931984947155577,0.0005476658984958822,0.006569421474966262,0.39492011070251465
p_qwen_plus_01,0.01,7,29,29,0.6947571594424936,0.0006157830330465491,0.008224348838663083,0.30795907974243164
p_qwen_plus_01,0.1,7,29,12,0.7059208945407575,0.000713041232128597,0.008794275192081666,0.3954801559448242
q_qwen_local_01,0.001,7,29,60,0.916280963941938,0.0029745587716698495,0.03186590573167914,0.41573500633239746
q_qwen_local_01,0.01,7,29,24,0.924601636063295,0.004870963623240977,0.03850869897882154,0.4138960838317871
q_qwen_local_01,0.1,7,29,10,0.9303654697105339,0.00497783394538926,0.039293375194294565,0.32410526275634766
perfect_7,0.001,13,7,17,0.5258175842031951,0.0006509656719137076,0.006617865005636751,0.2007143497467041
perfect_7,0.01,13,7,9,0.5266160337261169,0.0006792766762087698,0.0075443413733748445,0.19246912002563477
perfect_7,0.1,13,7,8,0.526939188863907,0.0006190265953004558,0.00815107946272081,0.1973588466644287
perfect_10,0.001,13,10,19,0.5230261584099511,0.000932886273497677,0.008410253684164407,0.22613310813903809
perfect_10,0.01,13,10,9,0.5266160337261169,0.0006792766762087698,0.0075443413733748445,0.20727801322937012
perfect_10,0.1,13,10,8,0.526939188863907,0.0006190265953004558,0.00815107946272081,0.2036151885986328
poly_d1,0.001,13,9,24,15.629429061438694,0.29883467484145493,5.013505234812405,0.22356486320495605
poly_d1,0.01,13,9,18,15.627030863976529,0.29878601459532256,5.016970982811614,0.2133011817932129
poly_d1,0.1,13,9,9,15.971195077344612,0.5769847570813723,6.810664575664267,0.20105600357055664
poly_d2,0.001,13,45,61,14.977891094136165,0.1930453152039558,4.286125787009417,0.8855931758880615
poly_d2,0.01,13,45,27,15.629473655050157,0.29697641260707724,5.013336584566005,0.7555530071258545
poly_d2,0.1,13,45,10,15.981150313603353,0.5750466491494054,6.807415363763603,0.7593410015106201
poly_d3,0.001,13,165,107,15.002744370815005,0.19287205438034624,4.272428337909519,3.4055769443511963
poly_d3,0.01,13,165,32,15.634176799094691,0.29713212711785675,5.015959183889061,3.2132480144500732
poly_d3,0.1,13,165,15,15.979001326975661,0.5752422725736882,6.815821867343892,3.368457078933716
p_qwen_plus_01,0.001,13,29,35,0.5229102626382366,0.00046237949432022566,0.0056179287101948685,0.3810698986053467
p_qwen_plus_01,0.01,13,29,22,0.5252310807866801,0.0005217884731274128,0.006968796818931877,0.34034180641174316
p_qwen_plus_01,0.1,13,29,12,0.5269450104190424,0.0006189633268384442,0.00815449719970167,0.3008420467376709
q_qwen_local_01,0.001,13,29,61,0.747507495288598,0.0022741813499078125,0.02797181841632841,0.44754481315612793
q_qwen_local_01,0.01,13,29,35,0.7549675828799347,0.003649880375042644,0.03007312804744196,0.3827340602874756
q_qwen_local_01,0.1,13,29,11,0.7555854397028505,0.00391711780778542,0.03286960727302871,0.31359100341796875
