condition,run_index,n_basis,active_terms,one_step_mse,rollout_mse_10,rollout_mse_50,llm_call_time_s,fit_time_s,basis_file
P,1,29,12,0.48406036079401715,0.0006429248380673677,0.010152164243006592,0.0,0.28418922424316406,p_qwen_plus_run_01.py
P,2,30,14,0.4840603607940172,0.0006429248380673279,0.010152164243006592,20.760338068008423,0.2967700958251953,p_qwen_plus_run_02.py
P,3,30,15,0.48406036079401743,0.0006429248380673671,0.010152164243006674,16.516309022903442,0.2960660457611084,p_qwen_plus_run_03.py
Q,1,29,11,0.7153185177976714,0.006236216921371777,0.04641280355403405,0.0,0.30732107162475586,q_qwen_local_run_01.py
Q,2,29,11,0.7153185177976714,0.006236216921371777,0.04641280355403405,96.41326904296875,0.3403310775756836,q_qwen_local_run_02.py
Q,3,29,11,0.7153185177976714,0.006236216921371777,0.04641280355403405,91.63445091247559,0.3477470874786377,q_qwen_local_run_03.py
