condition,run_index,llm_call_time_s,build_time_s,eval_time_s,success_rate,mean_settling_time_s,mean_control_energy,mean_final_position_error,mean_final_attitude_error,failed_crash,failed_timeout,cost_file
B,0,0.0,0.05440473556518555,96.96630883216858,1.0,0.8200000000000001,0.4747175688467339,3.632505784409797e-10,3.915233530381171e-10,0,0,<baseline>
P,1,8.606707096099854,0.06297707557678223,95.25278329849243,1.0,1.086,0.5808474520077523,1.6359803705303353e-05,1.5751158431473005e-06,0,0,p_multiseed_run_01.py
P,2,9.841455936431885,0.061116933822631836,95.56264185905457,1.0,0.726,1.7586052420001164,2.663032043737463e-10,3.5988839228055437e-10,0,0,p_multiseed_run_02.py
P,3,6.072493076324463,0.061387062072753906,95.06984806060791,1.0,1.102,0.4205894648036527,1.6400582381957945e-05,1.5790418343544606e-06,0,0,p_multiseed_run_03.py
Q,1,229.6568899154663,0.10125207901000977,89.45436096191406,1.0,0.647,2.5939060738475086,6.450434903095198e-09,6.690092261159002e-09,0,0,q_multiseed_run_01.py
Q,2,211.4980821609497,0.09244489669799805,88.7339608669281,1.0,0.647,2.5939060738475086,6.450434903095198e-09,6.690092261159002e-09,0,0,q_multiseed_run_02.py
Q,3,202.44850087165833,0.07125306129455566,89.98035001754761,1.0,0.647,2.5939060738475086,6.450434903095198e-09,6.690092261159002e-09,0,0,q_multiseed_run_03.py
