condition,description,n_basis,active_terms,fit_time_s,eval_time_s,build_failed,hover_success_rate,mean_settling_time_s,mean_control_energy,mean_final_position_error,mean_final_attitude_error,failed_due_to_crash,failed_due_to_timeout
B,polynomial degree 3 (165 features),165,11,7.274583101272583,79.19494795799255,0,0.0,nan,3.2193996635513775,4.223272213613225,0.04055170936173094,10,10
P,Qwen 3.6-Plus E1 basis (p_qwen_plus_run_01.py),29,12,0.8355810642242432,102.2726719379425,0,1.0,0.8079999999999999,0.44966778277087,0.01938182385079484,2.2597237174789406e-10,0,0
Q,Qwen3.5-4B E1 basis (q_qwen_local_run_01.py),29,11,0.9413459300994873,99.86766195297241,0,0.2,2.515,0.040241988787924815,1.95300287413303,0.023805755314959164,0,16
R,tuned RBF basis (cascade-capped M),109,390,5.136200904846191,490.4157257080078,0,0.0,nan,157.64527422523466,4.192621793190018,0.3244122559556781,15,5
