condition,seed,total_timesteps,train_time_s,final_ep_rew_mean,reward_description,hover_success_rate@0.15,mean_settling_time_s@0.15,mean_control_energy@0.15,mean_final_position_error@0.15,mean_final_attitude_error@0.15,failed_due_to_crash@0.15,failed_due_to_timeout@0.15,hover_success_rate@0.3,mean_settling_time_s@0.3,mean_control_energy@0.3,mean_final_position_error@0.3,mean_final_attitude_error@0.3,failed_due_to_crash@0.3,failed_due_to_timeout@0.3,llm_call_time_s,llm_model,llm_total_tokens,llm_request_id
B,0,300000,46.62502312660217,-145.89442639,textbook negative-quadratic (Bryson),1.0,0.37,0.1334501754809035,0.02103928634868373,1.375557476928552e-07,0,0,1.0,0.7240000000000001,0.16766063712544657,0.021039112236194833,2.393603647465475e-07,0,0,,,,
B,1,300000,45.6820330619812,-197.03751437000003,textbook negative-quadratic (Bryson),1.0,0.383,0.15420563210972854,0.06602276115846253,2.1182332857684095e-09,0,0,1.0,0.658,0.2047014321948771,0.0660227609589833,3.503948699760164e-09,0,0,,,,
B,2,300000,46.057729959487915,-161.73959489,textbook negative-quadratic (Bryson),1.0,0.457,0.13750754229833737,0.03452920392878509,1.5965636735119021e-09,0,0,1.0,0.7070000000000001,0.18685233525706763,0.03452920418971403,2.6492813987765476e-09,0,0,,,,
P,0,300000,46.4544358253479,-174.77587212000003,Qwen 3.6-Plus generated,1.0,0.392,0.14518058732825606,0.03901427183978999,6.823124915277308e-07,0,0,1.0,0.858,0.17066272741639557,0.03901481833518698,1.2003521905049328e-06,0,0,5.420577764511108,qwen-plus,1385,370c31d8-1abf-9922-9c45-879f76db50c1
P,1,300000,46.469321966171265,-177.41935602000004,Qwen 3.6-Plus generated,1.0,0.36100000000000004,0.12687904508697945,0.03969738474676452,1.5455596994097757e-07,0,0,1.0,0.823,0.14402045006824443,0.039682724821014245,2.4726616864755953e-07,0,0,5.420577764511108,qwen-plus,1385,370c31d8-1abf-9922-9c45-879f76db50c1
P,2,300000,46.22114682197571,-182.89000105,Qwen 3.6-Plus generated,1.0,0.35600000000000004,0.12080370148701965,0.010198170499872684,1.4585929473962765e-07,0,0,1.0,0.818,0.14123645603139173,0.010199575834982946,2.386572314907962e-07,0,0,5.420577764511108,qwen-plus,1385,370c31d8-1abf-9922-9c45-879f76db50c1
