condition,run_index,ppo_seed,total_timesteps,train_time_s,final_ep_rew_mean,reward_description,llm_call_time_s,llm_model,llm_total_tokens,llm_request_id,hover_success_rate@0.15,mean_settling_time_s@0.15,mean_control_energy@0.15,mean_final_position_error@0.15,mean_final_attitude_error@0.15,failed_due_to_crash@0.15,failed_due_to_timeout@0.15,hover_success_rate@0.3,mean_settling_time_s@0.3,mean_control_energy@0.3,mean_final_position_error@0.3,mean_final_attitude_error@0.3,failed_due_to_crash@0.3,failed_due_to_timeout@0.3
P,1,0,300000,48.95062804222107,-174.77587212000003,"Qwen 3.6-Plus generated (multi-reward, seed=0)",5.430264949798584,qwen-plus,1385,fa749e55-47f6-9171-af5f-bd0dbadb8669,1.0,0.392,0.14518058732825606,0.03901427183978999,6.823124915277308e-07,0,0,1.0,0.858,0.17066272741639557,0.03901481833518698,1.2003521905049328e-06,0,0
P,2,0,300000,47.85960507392883,-186.08021685,"Qwen 3.6-Plus generated (multi-reward, seed=0)",11.094685077667236,qwen-plus,1638,e2eb2497-4857-9bb2-8a12-87f04141af3d,1.0,0.41000000000000003,0.1394142314409853,0.052097809063559916,6.382064121135028e-09,0,0,1.0,0.6990000000000001,0.17854661274652325,0.05209780255726337,1.030194015289036e-08,0,0
P,3,0,300000,48.57726216316223,66.01546026,"Qwen 3.6-Plus generated (multi-reward, seed=0)",9.45597505569458,qwen-plus,1571,bf075669-ba22-93ff-8b87-b7fb35adebf7,1.0,0.35100000000000003,0.1350528502357918,0.054317990828865306,2.3435728221604904e-07,0,0,1.0,0.79,0.1581658563285709,0.05431503893111563,3.7246723429944724e-07,0,0
