condition,variant,prompt_chars,response_chars,llm_call_time_s,llm_total_tokens,n_basis,active_terms,one_step_mse,rollout_mse_10,rollout_mse_50,basis_file
P,minimal,635,745,8.38999319076538,497,47,10,0.7153185177976714,0.006236216921371783,0.0464128035540351,p_variant_minimal.py
P,current,3323,3171,17.701596975326538,1654,30,18,0.4846135163186908,0.0005309855369929365,0.00954580289956934,p_variant_current.py
P,cheat,3686,3440,21.44196367263794,1944,28,14,0.48406036079401726,0.0006429248380673454,0.010152164243006422,p_variant_cheat.py
Q,minimal,635,3845,57.77764320373535,0,53,10,0.7153185177976713,0.006236216921371781,0.0464128035540351,q_variant_minimal.py
Q,current,3323,6212,87.13498711585999,0,29,11,0.7153185177976714,0.006236216921371777,0.04641280355403405,q_variant_current.py
Q,cheat,3686,4626,76.56642007827759,0,23,12,0.4839980496209108,0.0006041266379024522,0.009972108739433848,q_variant_cheat.py
