rollout,t,p_x,p_z,theta,v_x,v_z,omega,u_1,u_2,ref_p_x,ref_p_z,pos_error,att_error
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.900689856622795,4.900689856622795,0.0,0.0,0.0,0.0
0,0.02,0.0,-1.7240573508821912e-06,0.0,0.0,-0.00017240573508821912,0.0,4.905530548647609,4.905530548647609,0.0,0.0,1.7240573508821912e-06,0.0
0,0.04,0.0,-4.959952593603135e-06,0.0,0.0,-0.00015118378918387522,0.0,4.905488685578071,4.905488685578071,0.0,0.0,4.959952593603135e-06,0.0
0,0.06,0.0,-7.788154146052407e-06,0.0,0.0,-0.00013163636606105202,0.0,4.905445302367376,4.905445302367376,0.0,0.0,7.788154146052407e-06,0.0
0,0.08,0.0,-1.0242760520323204e-05,0.0,0.0,-0.00011382427136602759,0.0,4.905405067470702,4.905405067470702,0.0,0.0,1.0242760520323204e-05,0.0
0,0.1,0.0,-1.2357218959363082e-05,0.0,0.0,-9.762157253796034e-05,0.0,6.105031566024307,5.065902119950083,0.0,0.0,1.2357218959363082e-05,0.0
0,0.12,1.9346721794550255e-06,0.00025787457381480465,-0.005195647230371119,0.0003869337830664711,0.027120298256812492,-0.5195647230371119,5.6834421028650945,5.479066608026291,0.0,0.0,0.0002578818310323724,0.005195647230371119
0,0.14,2.9385406926905662e-05,0.0010706878350576275,-0.016608819165307376,0.002782777586742494,0.05415639818268564,-0.6217524704565136,5.582973115346108,5.5866075987557995,0.0,0.0,0.0010710910056016011,0.016608819165307376
0,0.16,0.0001313930022952953,0.0024252414217457822,-0.02902569615738919,0.00788016300800761,0.08128841295133704,-0.6199352287516677,5.557336749970154,5.619292964989306,0.0,0.0,0.0024287980720520334,0.02902569615738919
0,0.18,0.0003629873055060872,0.004323101389455308,-0.04111461965732678,0.015729365709127203,0.10848179232318983,-0.5889571212420917,5.547458840819401,5.631020624981552,0.0,0.0,0.004338313659415255,0.04111461965732678
0,0.2,0.0007780826619490534,0.006764164434202794,-0.05247595316135786,0.026203045673337134,0.1356047091032677,-0.5471762291610163,5.53900077763652,5.634025839825302,0.0,0.0,0.006808768840382212,0.05247595316135786
0,0.22,0.0014273152064359633,0.009745348298707237,-0.06294435243363428,0.03910943695205117,0.16249118995962034,-0.49966369806662536,5.528202874698829,5.630869630202954,0.0,0.0,0.009849316837305996,0.06294435243363428
0,0.24,0.002357119269544595,0.013260093604056465,-0.07242429261744615,0.054222785100028426,0.18895949173556692,-0.44833032031456277,5.513866140795181,5.621923002488081,0.0,0.0,0.013467965460276381,0.07242429261744615
