condition,run_index,observable_description,n_obs,fit_time_s,train_one_step_mse,one_step_mse,rollout_mse_50,llm_call_time_s,llm_model,llm_total_tokens,llm_request_id
P,1,Qwen 3.6-Plus generated (multi-seed),30,1.2673041820526123,0.00039839866438077533,0.00039977875519693753,0.29000111004098744,17.141948223114014,qwen-plus,2156,2de4e45c-f37a-9084-96aa-5b5763f0323b
P,2,Qwen 3.6-Plus generated (multi-seed),33,1.66756010055542,0.00010320298943282009,0.00010203986953076535,0.03246333900459492,17.139256954193115,qwen-plus,2184,72a8f156-ce08-9d6f-93bd-1a816170c524
P,3,Qwen 3.6-Plus generated (multi-seed),35,1.47552490234375,0.00019476498749384263,0.00019146102916791616,0.234252182140228,22.42752194404602,qwen-plus,2431,093047c7-08f1-9e51-bf70-e80246715e86
