rollout,t,p_x,p_z,theta,v_x,v_z,omega,u_1,u_2,ref_p_x,ref_p_z,pos_error,att_error
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.670111034565527,5.67097271720271,0.0,0.0,0.0,0.0
0,0.02,2.0550728053477794e-06,0.0005062141837248317,-0.004995691586814086,0.00041101391996592343,0.050620905047520766,-0.4995691586814086,6.1831768087215355,6.03340332918966,0.015707317311820675,0.015705379539064146,0.02185566035367469,0.004995691586814086
0,0.04,3.092342319593553e-05,0.0019998537424942356,-0.015735942158101635,0.0029131592925662874,0.09873851729962471,-0.5744558984473462,6.026397302762626,6.073698649513649,0.03141075907812829,0.03139525976465669,0.042997488077076644,0.015735942158101635
0,0.06,0.0001364372942396364,0.004432173255865371,-0.026988553393293445,0.008091980782382036,0.14448373937935252,-0.5508052250718345,5.948370670226349,6.038626956565528,0.04710645070964266,0.047054156659257156,0.06342567011456911,0.026988553393293445
0,0.08,0.0003715906080820659,0.007756118553839035,-0.037553376463034235,0.015845263880062084,0.1878971701409609,-0.5056770819022449,5.888204549340084,5.985204842872517,0.06279051952931337,0.06266661678215213,0.08313414162277315,0.037553376463034235
0,0.1,0.0007854595115512603,0.011924756943008147,-0.04718191663341697,0.025922361690159365,0.22895052826192341,-0.4571769351360282,5.831728052746191,5.926924305696024,0.07845909572784494,0.07821723252011543,0.10211702150573378,0.04718191663341697
0,0.12,0.0014217973565517242,0.016890536035553287,-0.05584947407138837,0.03805070036505337,0.26760988739545405,-0.40957880866111207,5.775744208434284,5.867095934510532,0.09410831331851431,0.0936906572928623,0.1203704650913359,0.05584947407138837
0,0.14,0.0023189636741860254,0.022605313845104887,-0.06358429161422938,0.05196557971348046,0.30384997819528403,-0.36390294562298786,5.719640672228413,5.806654741901853,0.10973431109104528,0.10907162069827128,0.13789299866748314,0.06358429161422938
0,0.16,0.003510168647175364,0.029020559717740625,-0.07042728017832194,0.06741724144023982,0.33765700549899413,-0.32039591078626817,5.663417990482821,5.745984177218416,0.12533323356430426,0.1243449435824274,0.15468547864937146,0.07042728017832194
0,0.18,0.005023792103787777,0.0360875842988689,-0.07642236746036933,0.08417249076206135,0.3690287267287513,-0.2791128174184707,5.607223131853856,5.685339254887612,0.14090123193758267,0.13949555301961464,0.1707509491942498,0.07642236746036933
0,0.2,0.006883718079944689,0.043757764153869234,-0.08161404319356996,0.10201492125629726,0.39797383276741666,-0.24005475590159264,5.551236571980647,5.624942139269378,0.15643446504023087,0.1545084971874737,0.18609446736499252,0.08161404319356996
0,0.22,0.009109668804265782,0.051982751999425564,-0.08604661047515816,0.12074470169836701,0.42451112505972466,-0.20320197225722714,5.495642887419646,5.565001638848439,0.17192910027940952,0.16936896012264568,0.20072291628869132,0.08604661047515816
0,0.24,0.011717532243094731,0.06071466979773459,-0.08976385616315874,0.14017816337371727,0.4486686228366357,-0.16852259654283097,5.44062149923228,5.505715468608902,0.1873813145857246,0.18406227634233896,0.2146448146757833,0.08976385616315874
0,0.26,0.014719680048528097,0.06990628378716063,-0.09280883824713225,0.16014725918621883,0.47048264785120236,-0.13597561185451967,5.386342654375917,5.4472690081506165,0.2027872953565125,0.1985739453173903,0.22787012759747546,0.09280883824713225
0,0.28,0.018125273699994893,0.07951116124053177,-0.09522371871534914,0.18049892706981938,0.4899969107530818,-0.10551243496716989,5.332965090539464,5.389833709209924,0.21814324139654256,0.21288964578253636,0.24041008202689615,0.09522371871534914
0,0.3,0.02194055716415043,0.08948380914253659,-0.09704962432134023,0.20109438070951427,0.5072616149668893,-0.07707812563193972,5.280634494949872,5.33356583158768,0.2334453638559054,0.2269952498697734,0.25227698980405844,0.09704962432134023
0,0.32,0.026169134821875134,0.09977979525110767,-0.09832653015078999,0.22180834744729266,0.5223325895759918,-0.050612457313035986,5.229482495760471,5.278605610407586,0.2486898871648548,0.24087683705085766,0.26348408002747736,0.09832653015078999
0,0.34,0.030812233787919512,0.11035585220685497,-0.09909316372381513,0.242528271284309,0.5352704596610864,-0.026050899989478626,5.179626075653372,5.225076826783902,0.2638730499653729,0.25452070787518566,0.2740453423197909,0.09909316372381513
0,0.36,0.03586895008774444,0.12116996549949936,-0.09938692796795205,0.2631534970007593,0.5461398601617049,-0.003325524424213633,5.131167336562724,5.173086727532689,0.2789911060392293,0.26791339748949833,0.2839753819377686,0.09938692796795205
0,0.38,0.04133647845664732,0.1321814462023096,-0.0992438415015865,0.283594449443283,0.5550086974190912,0.01763417106076881,5.084193557635534,5.122726237709401,0.29404032523230395,0.2810416889260653,0.2932892872898531,0.0992438415015865
0,0.4,0.047210325786970736,0.14335098945328956,-0.09869849468000179,0.303771820016981,0.5619474610301837,0.03690051109770209,5.038777495454189,5.0740704134558445,0.3090169943749474,0.29389262614623657,0.3020025100811678,0.09869849468000179
0,0.42,0.05348450846989081,0.15464071970218551,-0.09778401986803947,0.32361577043269263,0.5670285874226282,0.05454697009852971,4.99497788095292,5.027179087613339,0.32391741819814934,0.3064535268264882,0.3101307580216015,0.09778401986803947
0,0.44,0.06015173406009324,0.16601422376091554,-0.09653207443276679,0.34306516185875535,0.5703258755961542,0.07064757342873929,4.952840072325005,4.982097665619706,0.33873792024529137,0.3187119948743448,0.31768989980202883,0.09653207443276679
0,0.46,0.06720356783670421,0.17743657269636479,-0.0949728349977185,0.36206681585314027,0.5719139547169485,0.08527637007608968,4.912396827784661,4.9388580341026795,0.35347484377925714,0.3306559326618259,0.3246958818617859,0.0949728349977185
0,0.48,0.07463058494500649,0.1888743335923429,-0.0931350015646066,0.38057481183543374,0.5718678026582711,0.09850697323509916,4.873669166347567,4.89747954922069,0.3681245526846779,0.3422735529643443,0.33116465633203473,0.0931350015646066
0,0.5,0.08242250888404977,0.2002955721848237,-0.091045810185539,0.398549824415399,0.5702623141189184,0.11041216467166048,4.836667288823028,4.857970076150463,0.3826834323650898,0.35355339059327373,0.3371121194395188,0.091045810185539
0,0.52,0.09056833715880624,0.21166984734374045,-0.08873105295546863,0.41595850263292156,0.5671719165941661,0.12106355833537785,4.801391534961385,4.820327055163092,0.3971478906347806,0.3644843137107058,0.34255405958848045,0.08873105295546863
0,0.54,0.0990564549456428,0.22296819833746392,-0.08621510418775254,0.43277289208264724,0.5626702322001605,0.13053131843623111,4.767833356168094,4.784538573458423,0.4115143586051088,0.3750555348152298,0.34750611430040956,0.08621510418775254
0,0.56,0.1078747376301296,0.23416312577414133,-0.08352095173257626,0.44896989998952136,0.5568297831457678,0.13888392708139596,4.735976286378945,4.750584425338281,0.4257792915650727,0.3852566213878946,0.3519837351772926,0.08352095173257626
0,0.58,0.11701064306996868,0.24522856706852458,-0.08067023249615166,0.4645308025586173,0.549721738492926,0.14618799656106374,4.705796896602542,4.71843714640487,0.4399391698559151,0.39507750618784515,0.35600216005991814,0.08067023249615166
0,0.6,0.1264512944162628,0.25613986723475074,-0.07768327131591873,0.4794407933312283,0.5414156997383339,0.15250812146222792,4.677265721240742,4.688063010235054,0.4539904997395468,0.4045084971874737,0.3595763915746645,0.07768327131591873
0,0.62,0.13618355429633427,0.2668737457555637,-0.07457912244170262,0.4936885708244709,0.531979522677312,0.15790676595938402,4.650348146701701,4.659422978514501,0.4679298142605734,0.4135402871372809,0.36272118129650976,0.07457912244170262
0,0.64,0.14619409112342724,0.2774082602273791,-0.07137561296345094,0.5072659633983644,0.521479172972061,0.16244418186578402,4.625005254885105,4.632473597775679,0.4817536741017153,0.42216396275100754,0.36545101879960856,0.07137561296345094
0,0.66,0.15646943825515275,0.28772276742898345,-0.06808938761168239,0.520167589066586,0.5099786128336804,0.166178353311071,4.60119461600846,4.607167837841996,0.4954586684324076,0.4303710135019718,0.3677801249168689,0.06808938761168239
0,0.68,0.166996046675424,0.297797882410036,-0.06473595443629328,0.5323905478297829,0.49753971623957693,0.16916496422783922,4.578871026868383,4.583455868746789,0.5090414157503713,0.43815334002193185,0.36972244858415293,0.06473595443629328
0,0.7000000000000001,0.17776033182553877,0.30761543614436154,-0.061329730942344465,0.5439341440487623,0.4842222101410715,0.171457385167042,4.557987192051084,4.561285774334542,0.5224985647159488,0.44550326209418395,0.3712916667009524,0.061329730942344465
0,0.72,0.18874871516037695,0.31715843224269047,-0.05788409032758633,0.5547996363755312,0.47008363916803114,0.17310667630877097,4.538494346825161,4.540604201969658,0.5358267949789967,0.4524135262330098,0.3725011864959765,0.05788409032758633
0,0.74,0.19994766095651198,0.32641100317036664,-0.054411407525688425,0.5649900128106108,0.4551793514059272,0.17416160388101964,4.52034282148529,4.521356948795565,0.5490228179981318,0.45887731284199057,0.37336414994164896,0.054411407525688425
0,0.76,0.21134370885126907,0.3353583663679176,-0.050923104811516656,0.5745097885441715,0.43956250290369964,0.17466866753615706,4.503482547782363,4.5034894858232475,0.5620833778521306,0.4648882429441257,0.3738934398149847,0.050923104811516656
0,0.78,0.22292350254607524,0.3439867806265332,-0.04742969677058909,0.5833648243564972,0.4232840786661411,0.17467213655659952,4.4878635087904035,4.486947421802256,0.5750052520432786,0.4704403844771127,0.3741016870528797,0.04742969677058909
0,0.8,0.2346738150643258,0.35228350302665473,-0.04394083447439784,0.5915621634915679,0.40639292799018123,0.17421409306252578,4.473436134138393,4.471676909357079,0.5877852522924731,0.47552825814757677,0.3740012790969355,0.04394083447439784
0,0.8200000000000001,0.24658157091377347,0.3602367467062258,-0.040465348737053895,0.599109885068868,0.3889358121184931,0.17333448067186863,4.460151642990267,4.45762499627489,0.600420225325884,0.48014684283847153,0.3736043689661798,0.040465348737053895
