condition,run,success,settle_s,energy,final_pos,file
B,0,1.0,0.8200000000000001,0.4747175688467339,3.632505784409797e-10,<baseline>
P,1,1.0,0.715,1.1383266548282471,5.83622037116004e-09,p_multiseed_run_01
P,2,1.0,0.715,1.1383266548282471,5.83622037116004e-09,p_multiseed_run_02
P,3,1.0,0.715,1.1383266548282471,5.83622037116004e-09,p_multiseed_run_03
Q,1,1.0,0.8200000000000001,0.4747175688467339,3.632505784409797e-10,q_multiseed_run_01
Q,2,1.0,0.8200000000000001,0.4747175688467339,3.632505784409797e-10,q_multiseed_run_02
Q,3,1.0,0.8200000000000001,0.4747175688467339,3.632505784409797e-10,q_multiseed_run_03
