experiment,condition,one_step_mse,rollout_mse_10,rollout_mse_50
E1,B,16.058359392017202,0.6038658486107507,7.31677724694912
E1,P,0.5558240018549301,0.0006513447998421038,0.009255660589157477
E1,Q,0.7867608895709665,0.005998414511602068,0.04543360596815822
E1,R,13.965329799607234,0.08332866435382871,4.219460402090892
E3,B,0.006012205079816561,,4.784916796978179
E3,P,0.0004019500200415091,,0.24096798844843884
E3,R,0.0059829209456534384,,4.6738188178805435
